count	signature	example_object_ids
1	attack info+basic action+etc action+etc attack info+hp destroy+hp max+pass type+piercing power+team+vanish on move collision	[18099]
1	basic action+object destroy condition+pass type+vanish on move collision	[200277]
1	basic action+can beat index+hp destroy+hp gage+hp max+last action+team	[54450]
1	basic action+hp destroy+hp max+is hp by difficulty+pass type+reward type+team	[85176]
1	apply physics+basic action+pass type+team	[109000465]
1	object destroy condition+pass type+piercing power	[61987]
1	ai flag+down arrow data+passive object sub type+passive object type+target object index+target object type+time	[121031]
1	basic action+etc action+hp gage+team	[39207]
1	basic action+etc action+ignore change map+pass type+piercing power+team+vanish on move collision	[18407]
1	basic action+etc action+hp destroy+hp gage+hp max+is hp by difficulty+object destroy condition+pass type+reward type+team	[8964]
1	basic action+etc action+hp destroy	[2092615]
1	basic action+etc action+last action+pass type+team+trap	[80304]
1	basic action+etc action+etc attack info+homing+homing check gap+homing follow+homing use+homing velocity+sync target move+vanish on move collision	[15352]
1	basic action+object destroy condition+pass type	[8781]
1	look direction+passive object sub type+passive object type+target object index+target object type+time	[121009]
1	basic action+etc action+hp destroy+hp max+pass type+piercing power+piercing tolerance	[8509]
1	basic action+etc action+etc attack info+hp max	[109000486]
1	ai flag+down arrow data+hp rate+look direction+passive object sub type+passive object type+target object index+target object type+time	[121034]
1	basic action+etc action+etc attack info+hp max+ignore change map+pass type	[52925]
1	basic action+etc action+etc attack info+hp max+team	[67222]
1	basic action+etc action+etc attack info+piercing power+piercing tolerance+vanish on move collision	[53674]
1	look direction+passive object sub type+passive object type+time	[121039]
1	basic action+etc action+last action+pass type+piercing power+vanish on move collision	[109007034]
1	basic action+etc attack info+last action+piercing power+team	[109000258]
1	basic action+etc action+etc attack info+hp destroy+hp max+is hp by difficulty+last action+pass type+team	[76108]
1	basic action+hp destroy+hp gage+hp max+pass type+team	[39101]
1	basic action+etc action+etc attack info+hp destroy+hp max+last action+piercing power	[48447]
1	basic action+etc action+etc attack info+hp max+pass type+team	[69130]
1	attack info+basic action+etc action+etc attack info+object destroy condition+piercing power+team	[15263]
1	attack info+basic action+etc action+hp max+pass type+piercing power+team	[48450]
1	ai flag+hp rate+is force pattern+is not focus+look direction+npc dialog npc index+npc dialog text+passive object sub type+passive object type+save my object state+set pos+target object index+target object order+target object type+time	[120560]
1	basic action+etc action+etc attack info+last action+pass type+piercing power+vanish on move collision	[18922]
1	basic action+pass type+piercing power+team+vanish on move collision	[9112]
1	basic action+hp destroy+hp max+pass type+reward type	[8453]
1	basic action+etc action+etc attack info+hp destroy+hp gage+hp max+is hp by difficulty+pass type+piercing power	[85157]
1	pass type+pvp room transparent value for observer	[5000]
1	basic action+etc action+etc attack info+last action+pass type+team	[15289]
1	attack info+basic action+pass type+piercing power+team+vanish on move collision	[9001]
1	basic action+etc action+etc attack info+piercing power+team+vanish on move collision	[37125]
1	attack info+basic action+etc action+etc attack info+last action+piercing power+team	[56039]
1	basic action+etc action+hp destroy+team	[68330]
1	attack info+basic action+etc action+hp destroy+hp max+last action+object destroy condition+pass type+piercing power+team	[80365]
1	basic action+etc action+hp destroy+pass type+team	[16004]
1	basic action+hp destroy+hp gage+hp max+last action	[18929]
1	basic action+etc action+team+vanish on move collision	[54532]
1	basic action+etc action+etc attack info+last action+pass type+piercing power	[107002532]
1	pass type+vanish on move collision	[10086]
1	basic action+etc action+etc attack info+last action+pass type	[69254]
1	basic action+etc action+etc attack info+hp destroy+hp gage+hp max+last action+piercing power	[74030]
1	basic action+homing+homing follow+homing use+homing velocity+last action+sync target move	[53823]
1	basic action+hp max+last action+pass type+piercing power+team	[56002]
1	attack info+basic action+etc action+etc attack info+pass type+piercing power+team+vanish on move collision	[72150]
1	attack info+basic action+etc action+hp destroy+hp max+object destroy condition+pass type+piercing power+piercing tolerance+team	[8083]
1	basic action+etc action+matching attack info+pass type+piercing power	[2093658]
1	basic action+etc action+etc attack info+last action+piercing power	[85114]
1	hp destroy+hp max+last action+pass type+team	[61896]
1	attack info+basic action+damage absorb+etc action+hp destroy+hp gage+hp max+matching attack info+party count for hp max rate+pass type+piercing power+team	[54086]
1	basic action+hp destroy+hp max+object destroy condition+team	[200115]
1	look direction+npc dialog npc index+npc dialog text+passive object sub type+passive object type	[401004]
1	basic action+create delay+etc action+object destroy condition+pass type+piercing power	[57741]
1	basic action+etc action+hp destroy+hp max+pass type+reward type	[109006893]
1	basic action+etc action+object destroy condition	[109007055]
1	basic action+hp destroy+hp gage+hp max+last action+pass type+piercing power+team	[67260]
1	attack info+basic action+etc action+pass type+piercing power+team+vanish on move collision	[85155]
1	attack info+basic action+draw hit object hp+hp destroy+hp max+last action+pass type+piercing power+team	[74341]
